id,kandidat,partiya,tip,tema,utverzhdenie,data,istochnik,url,tip_istochnika,citata,doverie,status,zametka
1,все,-,контекст,система выборов,"Выборы в ЗакС СПб VIII созыва проходят 18–20.09.2026; 50 мест: 25 одномандатных округов + 25 по партийным спискам (общегородской список и 25 региональных групп, привязанных к округам)",2026-09-18,Википедия (ст. «Выборы в Законодательное собрание Санкт-Петербурга (2026)»),https://ru.wikipedia.org/wiki/Выборы_в_Законодательное_собрание_Санкт-Петербурга_(2026),энциклопедия,"«…по итогам голосования будет сформирован VIII созыв парламента сроком на пять лет»",прямая,подтверждено,"версия статьи от 18.09.2026 09:15 UTC"
2,все,-,контекст,округ №3,"Округ №3: Петроградский район (Аптекарский остров, Введенский, Кронверкское, Петровский, Посадский, Чкаловское МО) + Приморский район (Ланское, частично МО Озеро Долгое); избирателей — 151 818",2026,Википедия (таблица округов),https://ru.wikipedia.org/wiki/Выборы_в_Законодательное_собрание_Санкт-Петербурга_(2026),энциклопедия,"",прямая,подтверждено,
3,все,-,контекст,округ №3,"В созыве 2021–2026 округ №3 принадлежал спикеру В. Макарову (перешёл в Госдуму); в 2021 мандат держала самовыдвиженец М. Лабынёва, в кампании 2026 она не участвует, а одномандатником решил стать Гладунов (в 2021 прошёл по списку)",2026-09,Петербургский формат,https://spbformat.ru/main/debatov-net-no-vrode-est-kak-prohodit-kampaniya-po-vyboram-v-zaks/,СМИ,"«Этот округ в прошлом созыве остался закреплённым за ушедшим из парламента в Госдуму прежним спикером Вячеславом Макаровым. Депутатом в 2021 году здесь была избрана в качестве самовыдвиженца его дочь Марина Лабынёва. Но в кампании 2026 года она участвовать не стала. Потому что одномандатником на округе решил стать Юрий Гладунов»",косвенная,подтверждено,
4,все,-,кампания,регистрации,"По округу №3 документы подали 7 кандидатов: Гладунов (ЕР), Дудоладов (СР), Зверев (ЛДПР), Луговской (КПРФ), Ф. Агеев (Яблоко), Д. Гинтовт (Новые люди), В. Горский (Зелёные)",2026-07-22,ЗакС.Ру,https://www.zaks.ru/new/archive/view/267807,СМИ,"«Помимо Горского и Гинтовта, по округу № 3 подали документы экс-член ТИК Федор Агеев (Яблоко), депутат Заксобрания Юрий Гладунов (Единая Россия), Глеб Дудоладов (Справедливая Россия), Артем Зверев (ЛДПР) и Роман Луговской (КПРФ)»",косвенная,подтверждено,
5,все,-,кампания,регистрации,"ТИК №54 20.07.2026 отказала в регистрации кандидату «Новых людей» Д. Гинтовту по округу №3 (не представил документы о ликвидации иностранных счетов); кандидат «Зелёных» В. Горский утратил статус (не донёс документы)",2026-07-22,ЗакС.Ру (цитата решения ТИК №54),https://www.zaks.ru/new/archive/view/267807,СМИ,"«Отказать в регистрации кандидата в депутаты Законодательного Собрания Санкт-Петербурга восьмого созыва Гинтовта Дмитрия Владимировича… по одномандатному избирательному округу № 3, на основании пункта 11 статьи 41 Закона Санкт-Петербурга…»",косвенная,подтверждено,"оригинал решения — на сайте ТИК №54"
6,все,-,контекст,двойное участие,"Зверев, Дудоладов и Луговской участвуют одновременно в региональных группах своих партий по 3 территории (ЛДПР №1, СР №2, КПРФ №1); Гладунов — только одномандатник",2026-09,Петербургский формат (таблицы округов),https://spbformat.ru/main/debatov-net-no-vrode-est-kak-prohodit-kampaniya-po-vyboram-v-zaks/,СМИ,"",косвенная,подтверждено,
7,все,-,кампания,правила кампании,"С 2026 действует 130-ФЗ: кандидатам запрещено использовать в агитации изображения/голоса/дипфейки, созданные нейросетями",2026-05-12,KP Ст.Петербург,https://www.spb.kp.ru/daily/277782/5248201/,СМИ,"«…кандидатам запрещено использовать в своей предвыборной агитации изображения, голоса и дипфейки, созданные с помощью нейросетей» (М. Мейксин)",косвенная,подтверждено,
8,все,-,кампания,дебаты,"16.09.2026 в окр. №6 состоялись неформальные дебаты кандидатов (инициатор — от «Новых людей»); по округу №3 на 18.09.2026 дебатов не зафиксировано",2026-09-17,ЗакС.Ру,https://www.zaks.ru/new/archive/view/268938,СМИ,"«В Петербурге 16 сентября прошли неформальные дебаты кандидатов в депутаты ЗакСа по округу № 6»",косвенная,подтверждено,"мониторить: возможные дебаты/встречи в окр. №3"
9,все,-,кампания,инциденты,"17.09.2026 в МО «Автово» задержаны агитаторы от КПРФ и «Справедливой России» (фонд: кампании СР и КПРФ в городе)",2026-09-17,ЗакС.Ру (Муниципал),https://www.zaks.ru/new/archive/view/268942,СМИ,"«В МО Автово задержали агитаторов от КПРФ и Справедливой России»",косвенная,подтверждено,
10,Гладунов Юрий Николаевич,Единая Россия,биография,личное дело,"Род. 09.09.1956, г. Куйбышев; 1975–1999 — служба в ВС СССР/РФ (Ленинградское высшее военно-политическое училище ПВО, Военно-политическая академия им. В.И. Ленина), полковник запаса; 2005 — Северо-Западная академия государственной службы",2026,pg.er.ru (профиль праймериз ЕР),https://pg.er.ru/candidate/595,партия,"«Родился в г. Куйбышев. 1980 г - окончил Ленинградское высшее военно-политическое училище ПВО. 1989 г - окончил Военно-политическую академию им.В.И.Ленина. 2005 г - окончил Северо-Западную академию государственной службы. 1975-1999 годы - служба в рядах Вооруженных Сил СССР и РФ. Полковник запаса»",прямая,подтверждено,
