id,kategoriya,istochnik,url,kto,cto_daet,status_dostupa,zametka
S01,официальный,ГАС «Выборы» — страница кампании ЗакС СПб 2026,http://izbirkom.ru/election/588148278/,все,избирком/комиссии/кандидаты/протоколы,500 из песочницы; в браузере открывается,основной официальный узел кампании
S02,официальный,Карточка кандидата — Гладунов (ЕР),http://izbirkom.ru/election/588148278/commission/e6db5e52-02be-4804-8456-38b14ed1af86/candidates/338cee38-5361-447d-97c9-c446ac26d731,Гладунов,ФИО/рождение/образование/работа/доходы,500 из песочницы; в браузере открывается,ссылка из spbformat.ru (сент. 2026)
S03,официальный,Карточка кандидата — Дудоладов (СР),http://izbirkom.ru/election/588148278/commission/e6db5e52-02be-4804-8456-38b14ed1af86/candidates/2489188a-89df-46fc-893b-9e6b5488cbf9,Дудоладов,то же,500 из песочницы; в браузере открывается,
S04,официальный,Карточка кандидата — Зверев (ЛДПР),http://izbirkom.ru/election/588148278/commission/e6db5e52-02be-4804-8456-38b14ed1af86/candidates/521a8097-1fb7-4327-953f-c349cdb3fe3f,Зверев,то же,500 из песочницы; в браузере открывается,
S05,официальный,Карточка кандидата — Луговской (КПРФ),http://izbirkom.ru/election/588148278/commission/e6db5e52-02be-4804-8456-38b14ed1af86/candidates/af825214-3acc-43b1-9f99-5034a599952f,Луговской,то же,500 из песочницы; в браузере открывается,
S06,официальный,ГИК Санкт-Петербурга,https://st-petersburg.izbirkom.ru/election/588148278/,все,протоколы/отказы/отчёты о расходах/встречи с избирателями,недоступен из песочницы,Раздел кампании; точный URL вложенных материалов зависит от публикации комиссии.
S07,официальный,Решение ТИК №54 (окр. №3) — отказ Гинтовту,https://www.zaks.ru/new/archive/view/267807,округ №3,цитата официального решения 20.07.2026,доступно,оригинал — на сайте ТИК №54
S08,официальный,Отчёты о расходах избирательных фондов,https://st-petersburg.izbirkom.ru/election/588148278/,все,расходы кандидатов (строка «расходы» матрицы),недоступен из песочницы,"Страница кампании; в матрице расходы подтверждаются отдельными публикациями, а не этим общим входом."
S09,официальный,ЗакС СПб — профиль Гладунова (VII созыв),https://www.assembly.spb.ru/general/composition/deputies/7th-convocation/gladunov-yuriy-nikolaevich/,Гладунов,комиссия/вопросы/слушания/голосования 2021–2026,проверить из браузера,5 лет хроники поступков
S10,официальный,ГАС «Выборы» — ГД РФ 2026 (окр. №213),http://izbirkom.ru/election/588148278/,Зверев,федеральная кампания,500 из песочницы,Страница кампании; конкретная карточка в песочнице недоступна.
S11,партия,Праймериз ЕР — профиль Гладунова,https://pg.er.ru/candidate/595,Гладунов,биография/«О себе»/видеообращения/лента,доступно (ленив. рендер — через поиск),страница может рендериться JS
S12,партия,Праймериз ЕР — новости СПб 2026,https://pg.er.ru/candidate/639/events/10184,все,статистика праймериз/бонус СВО/Омельницкий,доступно,
S13,партия,ЕР «Мой депутат» — Гладунов,https://ideputat.er.ru/user/167315,Гладунов,полная биография/награды/приёмы/посты,доступно,
S14,партия,ЛДПР СПб — профиль Зверева,https://spb.ldpr.ru/members/sankt_peterburg/zverev-artyem-aleksandrovich/,Зверев,должность/телефон/новости,доступно,
S15,партия,ЛДПР — федеральный сайт,https://ldpr.ru/event/448157/,Зверев,программа ЛДПР 2026 (контекст взглядов),доступно,
S16,партия,СР СПб — TG-канал реготделения,https://t.me/spravPiter,Дудоладов,выдвижение (пост 7032)/посты с участием,недоступен из песочницы,
S17,партия,СР СПб — TG-канал Н. Тихоновой,https://t.me/tihonovaNG,Дудоладов,позиции руководства партии,недоступен из песочницы,
S18,партия,КПРФ СПб — сайт горкома,https://cprfspb.ru/rajonnye-organizacii/,Луговской,райкомы/пресс-центр/списки,доступно,
S19,партия,КПРФ СПб — районные организации,https://cprfspb.ru/rajonnye-organizacii/,Луговской,контакты (телефон райкома),доступно,
S20,партия,КПРФ — региональные новости (акция 22.04.2026),https://kprf.ru/party-live/regnews/243282.html,Луговской,выступление первого секретаря райкома,доступно,
S21,партия,КПРФ — список по единому округу 2016,https://kprf.ru/news/pr/46821.html,Луговской,№40 в списке КПРФ 2016,доступно,
S22,партия,КПРФ СПб — архив 2015 (old.cprfspb.ru),http://old.cprfspb.ru/16156.html,Луговской,пикеты 2015/кандидат окр. №3 VI созыва,доступно,на новом cprfspb.ru эти URL — 404
S23,соцсети,Гладунов — ВКонтакте,https://vk.com/dep_gladunov,Гладунов,посты/взгляды,закрыт (VK) из песочницы,первоисточник взглядов
S24,соцсети,Гладунов — MAX,https://max.ru/dep_gladunov,Гладунов,посты/взгляды,проверить из браузера,
S25,соцсети,Гладунов — Одноклассники,https://ok.ru/profile/601843707672,Гладунов,посты,проверить из браузера,
S26,соцсети,Гладунов — Telegram,https://neva.today/news/2022/11/1/402004,Гладунов,посты,источник доступен; URL Telegram не установлен,Статья о сетке Telegram-каналов депутатов; ссылка на сам канал Гладунова не найдена.
S27,соцсети,VK-сообщество по кампаниям (Ижорская 13/39),https://vk.com/club43962110,Луговской,суд 2021 против регистрации соперницы,закрыт (VK) из песочницы,
S28,соцсети,ЗакС.Ру — TG,https://t.me/zaksru,все,мониторинг кампании в реальном времени,недоступен из песочницы,
S29,СМИ,ЗакС.Ру — тема «Выборы»,https://www.zaks.ru/new/topic/882/,все,пайплайн новостей кампании,доступно,
S30,СМИ,ЗакС.Ру — интерактивная карта кандидатов,https://www.zaks.ru/new/election/map/,все,сводка по округам,проверить из браузера,
S31,СМИ,ЗакС.Ру — досье: Гладунов / Луговской,https://www.zaks.ru/new/person/view/1664,Гладунов + Луговской,биографии + все упоминания,доступно,Луговской: /person/view/4827
